description,revenue
Regency Cakestand 3 Tier,260429.5
White Hanging Heart T-Light Holder,236068.01
Jumbo Bag Red Retrospot,131950.41
Assorted Colour Bird Ornament,123107.97
Postage,110422.15
Party Bunting,101620.03
Paper Chain Kit 50'S Christmas,74775.43000000001
Chilli Lights,68423.8
Jumbo Bag Strawberry,63553.13
Black Record Cover Frame,62923.58
Rotating Silver Angels T-Light Hldr,55271.77
Wood Black Board Ant White Finish,54200.36
Vintage Union Jack Bunting,53276.62
Edwardian Parasol Natural,53214.96
Jumbo  Bag Baroque Black White,51539.82
Rabbit Night Light,50861.88
Heart Of Wicker Large,48521.05
Red Hanging Heart T-Light Holder,47504.5
Cream Heart Card Holder,47190.17
Jumbo Storage Bag Suki,46979.25
Chocolate Hot Water Bottle,44895.11
Edwardian Parasol Black,44540.12
Vintage Union Jack Memoboard,44286.63
Jumbo Shopper Vintage Red Paisley,44226.01
Victorian Glass Hanging T-Light,44097.86
Please One Person Metal Sign,43740.00000000001
Paper Chain Kit Vintage Christmas,43597.32
Jumbo Bag Pink Vintage Paisley,42774.16
Heart Of Wicker Small,42603.159999999996
Jumbo Bag Pink Polkadot,42399.53
Home Building Block Word,42012.61
Scottie Dog Hot Water Bottle,41249.35
Red Toadstool Led Night Light,40171.659999999996
Round Snack Boxes Set Of4 Woodland,39963.17
Natural Slate Heart Chalkboard,39859.920000000006
Doormat Union Flag,39772.21
Picnic Basket Wicker 60 Pieces,39619.5
Baking Set 9 Piece Retrospot,38874.41
Red  Harmonica In Box,38872.15
Red Retrospot Cake Stand,38617.689999999995
Strawberry Ceramic Trinket Box,38550.08
Wooden Frame Antique White,38544.57
Lunch Bag  Black Skull.,37899.0
Gin + Tonic Diet Metal Sign,37042.700000000004
Cook With Wine Metal Sign,36003.61
Spaceboy Lunch Box,35968.59
Wooden Picture Frame White Finish,35728.3
Doormat Hearts,34897.45
Lunch Bag Cars Blue,34877.18
Spotty Bunting,34833.69
Jumbo Bag Owls,34675.09
Doormat Keep Calm And Come In,34147.6
Cream Sweetheart Mini Chest,33787.08
Hot Water Bottle Tea And Sympathy,33773.57
Jam Making Set With Jars,32820.72
